tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'fields', 'desert']
tiles:['fields', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'fields', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '9', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['fields', 'fields', 'mountains', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['pasture', 'fields', 'mountains', 'mountains', 'forest', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '8', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'pasture', 'fields', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'fields', 'pasture', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'forest', 'pasture', 'fields', 'hills', 'forest', 'desert']
tokens:['3', '9', '8', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '11', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'fields', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'pasture', 'desert']
tokens:['3', '9', '11', '4', '3', '2', '5', '5', '4', '6', '8', '10', '9', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'pasture', 'pasture', 'fields', 'hills', 'fields', 'desert']
tokens:['3', '9', '9', '4', '3', '2', '5', '5', '4', '6', '8', '10', '11', '8', '10', '6', '11', '12', '7']
tiles:['forest', 'fields', 'mountains', 'mountains', 'forest', 'forest', 'forest', 'pasture', 'mountains', 'hills', 'fields', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'hills', 'pasture', 'desert']
